depth,GR
2600.013,74.504
2600.135,76.037
2600.256,77.119
2600.378,78.391
2600.5,79.532
2600.621,80.551
2600.743,81.311
2600.864,81.859
2600.986,82.108
2601.107,81.837
2601.229,80.391
2601.351,79.797
2601.472,78.738
2601.594,78.529
2601.715,78.316
2601.837,78.363
2601.958,79.698
2602.08,80.524
2602.202,81.603
2602.323,82.684
2602.445,83.377
2602.566,81.091
2602.688,78.745
2602.81,76.726
2602.931,74.183
2603.053,73.132
2603.174,77.829
2603.296,80.338
2603.417,83.292
2603.539,84.888
2603.661,85.778
2603.782,85.17
2603.904,84.188
2604.026,82.42
2604.147,81.435
2604.269,80.251
2604.39,79.524
2604.512,78.466
2604.634,78.063
2604.755,77.394
2604.877,77.184
2604.998,77.035
2605.12,77.271
2605.241,77.324
2605.363,76.399
2605.485,72.82
2605.606,70.928
2605.728,69.612
2605.849,69.274
2605.971,69.191
2606.093,69.363
2606.214,70.835
2606.336,73.789
2606.457,76.29
2606.579,77.894
2606.701,79.362
2606.822,79.851
2606.944,79.325
2607.065,78.332
2607.187,78.332
2607.309,77.995
2607.43,78.877
2607.552,81.707
2607.673,84.276
2607.795,85.227
2607.917,85.533
2608.038,84.534
2608.16,83.554
2608.281,81.53
2608.403,77.114
2608.524,72.697
2608.646,69.638
2608.768,68.845
2608.889,69.214
2609.011,70.101
2609.132,71.178
2609.254,72.586
2609.375,74.828
2609.497,76.362
2609.619,76.859
2609.74,75.873
2609.862,75.205
2609.984,74.671
2610.105,74.652
2610.227,75.409
2610.348,77.524
2610.47,79.445
2610.592,80.398
2610.713,80.576
2610.835,80.169
2610.956,79.372
2611.078,78.708
2611.199,78.173
2611.321,78.665
2611.443,79.616
2611.564,80.44
2611.686,80.685
2611.807,80.463
2611.929,79.289
2612.051,78.17
2612.172,77.244
2612.294,76.449
2612.415,75.916
2612.537,74.796
2612.658,73.872
2612.78,73.403
2612.902,73.314
2613.023,74.529
2613.145,77.417
2613.267,79.661
2613.388,81.132
2613.51,82.601
2613.631,83.616
2613.753,84.506
2613.875,85.456
2613.996,85.502
2614.118,84.837
2614.239,82.295
2614.361,79.69
2614.482,77.862
2614.604,75.899
2614.726,74.651
2614.847,73.599
2614.969,73.066
2615.09,72.267
2615.212,71.862
2615.333,72.426
2615.455,73.89
2615.577,75.104
2615.698,76.507
2615.82,77.526
2615.941,78.471
2616.063,78.848
2616.185,79.605
2616.306,80.233
2616.428,80.404
2616.55,79.932
2616.671,79.465
2616.793,79.187
2616.914,79.55
2617.036,80.57
2617.157,81.907
2617.279,82.668
2617.401,83.621
2617.522,84.12
2617.644,84.034
2617.765,83.431
2617.887,83.412
2618.009,83.526
2618.13,83.894
2618.252,84.392
2618.373,84.891
2618.495,84.277
2618.616,83.953
2618.738,81.282
2618.86,79.514
2618.981,78.656
2619.103,77.859
2619.224,77.455
2619.346,77.438
2619.468,76.059
2619.589,72.224
2619.711,70.33
2619.833,69.535
2619.954,69.387
2620.076,71.568
2620.197,74.267
2620.319,76.638
2620.44,77.076
2620.562,77.246
2620.684,74.579
2620.805,72.166
2620.927,70.727
2621.048,69.8
2621.17,69.523
2621.292,69.503
2621.413,69.487
2621.535,69.399
2621.656,69.254
2621.778,69.556
2621.899,70.512
2622.021,71.852
2622.143,73.515
2622.264,74.46
2622.386,72.701
2622.507,69.125
2622.629,65.999
2622.75,65.01
2622.872,64.994
2622.994,67.17
2623.115,70.064
2623.237,73.665
2623.359,75.717
2623.48,77.059
2623.602,76.702
2623.723,76.635
2623.845,75.969
2623.967,75.238
2624.088,74.701
2624.21,74.163
2624.331,74.083
2624.453,76.653
2624.574,80.772
2624.696,84.182
2624.818,87.395
2624.939,90.029
2625.061,92.339
2625.182,93.291
2625.304,93.791
2625.426,92.281
2625.547,88.903
2625.669,85.518
2625.79,83.107
2625.912,81.148
2626.033,79.32
2626.155,76.84
2626.277,74.755
2626.398,71.694
2626.52,69.737
2626.642,68.746
2626.763,69.242
2626.885,70.972
2627.006,72.247
2627.128,72.746
2627.25,72.207
2627.371,71.608
2627.493,70.813
2627.614,70.797
2627.736,71.553
2627.857,71.915
2627.979,70.286
2628.101,67.747
2628.222,65.854
2628.344,64.282
2628.465,63.099
2628.587,62.677
2628.708,62.804
2628.83,63.623
2628.952,63.931
2629.073,63.975
2629.195,64.022
2629.316,65.359
2629.438,67.477
2629.56,67.911
2629.681,68.409
2629.803,71.805
2629.925,72.577
2630.046,74.753
2630.168,75.382
2630.289,75.559
2630.411,75.413
2630.532,74.487
2630.654,73.24
2630.776,70.955
2630.897,69.258
2631.019,67.818
2631.14,67.343
2631.262,67.13
2631.384,67.244
2631.505,67.29
2631.627,66.878
2631.748,65.372
2631.87,64.254
2631.991,64.166
2632.113,65.06
2632.235,67.63
2632.356,69.552
2632.478,71.726
2632.6,72.811
2632.721,73.377
2632.843,73.486
2632.964,69.711
2633.086,64.908
2633.208,60.04
2633.329,55.812
2633.451,57.675
2633.572,63.541
2633.694,69.343
2633.815,72.367
2633.937,75.195
2634.059,76.404
2634.18,77.227
2634.302,75.976
2634.423,75.313
2634.545,74.776
2634.667,74.563
2634.788,74.414
2634.91,74.396
2635.031,74.7
2635.153,75.394
2635.274,76.153
2635.396,76.846
2635.518,76.696
2635.639,76.227
2635.761,76.074
2635.883,76.836
2636.004,77.396
2636.126,76.979
2636.247,76.326
2636.369,74.363
2636.49,73.638
2636.612,72.905
2636.734,72.501
2636.855,72.353
2636.977,72.269
2637.098,72.769
2637.22,73.332
2637.342,73.377
2637.463,72.323
2637.584,70.903
2637.705,68.416
2637.826,67.105
2637.947,65.791
2638.068,64.603
2638.188,64.068
2638.309,63.854
2638.43,64.225
2638.551,64.858
2638.672,65.359
2638.793,65.603
2638.914,63.637
2639.035,60.896
2639.156,58.217
2639.276,56.512
2639.397,56.366
2639.518,59.204
2639.639,61.782
2639.76,62.673
2639.881,63.433
2640.002,65.103
2640.123,67.677
2640.243,69.22
2640.364,67.643
2640.485,62.827
2640.606,57.685
2640.727,51.049
2640.848,47.658
2640.969,46.021
2641.09,46.782
2641.21,51.172
2641.331,55.627
2641.452,58.532
2641.573,61.113
2641.694,62.913
2641.815,63.221
2641.936,62.166
2642.057,61.174
2642.177,60.18
2642.298,59.388
2642.419,57.814
2642.54,55.65
2642.661,55.767
2642.782,58.148
2642.903,60.339
2643.024,63.758
2643.145,66.595
2643.265,69.041
2643.386,72.074
2643.507,74.458
2643.628,75.221
2643.749,75.202
2643.87,75.444
2643.991,77.372
2644.112,79.82
2644.233,81.621
2644.354,81.015
2644.474,78.856
2644.595,76.956
2644.716,75.71
2644.837,74.784
2644.958,75.154
2645.079,75.336
2645.2,75.644
2645.321,74.519
2645.441,70.541
2645.562,69.103
2645.683,68.174
2645.804,67.966
2645.925,68.077
2646.046,69.358
2646.167,71.999
2646.288,74.832
2646.408,77.542
2646.529,79.406
2646.65,81.076
2646.771,81.512
2646.892,81.432
2647.013,80.568
2647.134,80.1
2647.255,80.013
2647.375,80.26
2647.496,81.406
2647.617,82.042
2647.738,81.306
2647.859,79.733
2647.98,79.004
2648.101,79.504
2648.222,80.202
2648.343,80.504
2648.463,79.513
2648.584,78.072
2648.705,74.553
2648.826,71.162
2648.947,65.692
2649.068,61.783
2649.189,59.688
2649.31,61.229
2649.43,65.235
2649.551,68.398
2649.672,67.659
2649.793,66.48
2649.914,64.258
2650.035,62.554
2650.156,62.99
2650.277,68.421
2650.397,72.879
2650.519,75.783
2650.639,77.258
2650.76,73.345
2650.881,69.502
2651.002,65.001
2651.123,62.717
2651.244,61.016
2651.365,63.2
2651.486,64.874
2651.606,66.868
2651.727,68.861
2651.848,70.075
2651.969,70.901
2652.09,71.015
2652.211,70.999
2652.332,68.902
2652.453,65.576
2652.573,62.057
2652.694,59.186
2652.815,60.918
2652.936,66.544
2653.057,71.85
2653.178,78.382
2653.299,81.736
2653.42,84.442
2653.541,85.92
2653.661,87.717
2653.782,89.061
2653.903,88.656
2654.024,87.082
2654.145,84.273
2654.266,81.726
2654.387,79.505
2654.508,77.537
2654.628,76.341
2654.749,76.339
2654.87,77.229
2654.991,78.573
2655.112,79.336
