GR,time
75.15049789,420
76.75825465,421
77.8983488,422
78.62406929,423
78.99000295,424
79.13115239,425
79.29996017,426
79.5277732,427
79.57916261,428
78.79190881,429
77.508356,430
76.41297253,431
75.84339322,432
76.19719784,433
77.62358704,434
78.71147466,435
78.96792088,436
78.63379762,437
77.955024,438
77.48941897,439
77.70830559,440
78.28034059,441
78.73949263,442
78.70869271,443
78.299236,444
77.73661349,445
77.09236333,446
76.05099515,447
74.5115125,448
73.33901241,449
72.59921614,450
72.11307044,451
71.74763211,452
71.52355232,453
71.51364929,454
71.72329219,455
72.29587026,456
73.5691846,457
74.72928411,458
75.38972046,459
75.6636182,460
75.79422231,461
76.00313241,462
76.31362368,463
76.57055312,464
76.59902337,465
75.99918844,466
75.00143001,467
74.12709106,468
73.62746353,469
73.82982758,470
75.08828458,471
76.46708714,472
77.57880264,473
78.37283424,474
78.59221176,475
78.27697266,476
78.00279616,477
77.99272688,478
78.10436379,479
77.85025629,480
76.8921394,481
75.13797319,482
72.74623438,483
69.6003214,484
65.63140501,485
63.07332816,486
61.76318363,487
61.03035388,488
60.86183189,489
61.18854953,490
61.58106619,491
61.82487863,492
61.81625682,493
61.46530014,494
61.4875292,495
62.38333983,496
64.07629327,497
66.51711475,498
69.12933663,499
69.9461113,500
69.45790132,501
68.57515552,502
67.93270093,503
67.98079033,504
68.62882992,505
69.17865765,506
68.7701045,507
66.13947981,508
62.8245323,509
59.84096311,510
57.38771368,511
56.06565997,512
56.46221344,513
58.20176831,514
60.52205733,515
63.07606943,516
66.40841094,517
69.39708326,518
70.96460492,519
71.77376873,520
71.81976044,521
70.57575134,522
68.84455617,523
67.19263547,524
65.97204965,525
65.94767979,526
67.28112348,527
68.78336661,528
69.85419901,529
70.20964311,530
69.6514588,531
69.05618011,532
69.18840483,533
69.93725199,534
71.19865858,535
72.85822307,536
73.8836832,537
74.50116547,538
75.23649931,539
76.66203493,540
78.48298739,541
79.63881583,542
80.2786664,543
80.25498576,544
78.81996959,545
76.72660044,546
74.75902319,547
73.16133535,548
72.62642986,549
73.74817676,550
75.58998698,551
77.43535514,552
78.75983401,553
79.18162129,554
79.08907371,555
79.36933255,556
80.34358547,557
81.85068707,558
83.25231586,559
82.99780606,560
81.04238527,561
78.4812875,562
76.32700785,563
75.52112903,564
76.32118505,565
77.4465651,566
77.91116146,567
76.92444517,568
75.2052449,569
74.00487911,570
73.3563039,571
73.26329744,572
73.64327598,573
74.0209851,574
74.29420953,575
74.68497081,576
75.6745956,577
77.22771588,578
78.18703523,579
78.42596817,580
77.50660882,581
74.16254576,582
70.2025591,583
67.61536327,584
66.01947153,585
65.67938543,586
66.61384216,587
67.45959957,588
67.76376174,589
67.62332947,590
67.27261051,591
67.31009955,592
68.31623294,593
70.08252463,594
72.36665642,595
75.14881039,596
77.10578017,597
78.01558896,598
79.09005949,599
81.14095838,600
84.38899408,601
86.10800228,602
86.06061424,603
84.34598693,604
80.03156153,605
74.93489795,606
72.54096989,607
71.82922024,608
72.76398643,609
75.86044895,610
78.84550337,611
80.560658,612
81.23090476,613
79.78953646,614
75.57281791,615
71.03670086,616
66.26683841,617
61.02504296,618
54.60605387,619
48.95963613,620
46.25265664,621
44.26852553,622
42.27390527,623
39.66213067,624
37.66855078,625
36.39270741,626
35.25897201,627
34.0446175,628
32.6713194,629
31.76583919,630
31.03567333,631
30.34116844,632
29.65792806,633
29.2979916,634
29.48918163,635
30.01154542,636
30.78825445,637
31.60921446,638
31.8750473,639
31.82094801,640
32.01463011,641
33.16568877,642
35.28736079,643
37.0230575,644
38.36240512,645
38.94334614,646
38.1805611,647
36.79805579,648
35.65923103,649
34.82981168,650
34.58657999,651
35.14086653,652
36.15633479,653
37.54164344,654
39.36018654,655
41.7656924,656
43.80790324,657
43.9070933,658
42.99996939,659
41.50394189,660
39.67311041,661
38.55082122,662
38.17893076,663
37.74249823,664
37.09444674,665
36.36994557,666
36.29038273,667
36.70418015,668
37.37345444,669
38.13270226,670
38.51808581,671
38.22824979,672
37.71967062,673
37.16320107,674
36.65283756,675
36.5444615,676
36.86982342,677
37.44310881,678
38.19300727,679
38.80310733,680
38.65845767,681
38.06395617,682
37.24517786,683
36.38946071,684
36.12255011,685
36.76568918,686
37.75053321,687
38.886632,688
40.11052203,689
40.85788796,690
41.28392009,691
41.71037201,692
42.19602535,693
42.85388287,694
43.63008065,695
44.7730139,696
46.72627243,697
50.17058402,698
53.54598689,699
55.64053417,700
57.84792182,701
61.11528846,702
66.35392389,703
70.57056071,704
73.59892033,705
75.90648377,706
77.13709548,707
77.48749955,708
77.51847412,709
77.83022389,710
78.58615996,711
79.76157595,712
80.43849826,713
80.17828405,714
79.362063,715
77.78387973,716
75.49425079,717
73.87655418,718
72.63145313,719
71.49659094,720
70.73033845,721
70.67230899,722
71.50402658,723
72.692785,724
73.79399784,725
74.32048425,726
73.99000966,727
73.19043941,728
72.53328607,729
72.24591117,730
72.30409168,731
72.3430504,732
72.14621244,733
71.7065675,734
71.24097718,735
71.2767835,736
72.1819865,737
73.92045589,738
77.27124974,739
82.54085579,740
86.12310532,741
87.44504719,742
87.83806937,743
87.1720052,744
86.09893979,745
85.72900521,746
85.70242021,747
86.27709204,748
88.42362103,749
91.76690123,750
95.38023213,751
99.1276901,752
101.2879668,753
99.82505382,754
94.94946789,755
88.18402652,756
80.26376374,757
70.84992882,758
62.10345142,759
58.79138237,760
57.12320053,761
56.47838264,762
57.26715767,763
59.01542197,764
61.26850746,765
64.30447226,766
68.87686015,767
74.92998108,768
78.6289204,769
80.59037963,770
81.64031225,771
81.29126823,772
80.2233562,773
79.47057317,774
78.91300558,775
78.92313644,776
80.2664309,777
82.8946094,778
86.47257395,779
91.03536516,780
96.50449414,781
101.4944505,782
102.1954877,783
100.5605648,784
97.81503894,785
93.74739735,786
90.11873442,787
88.71763146,788
87.72210298,789
86.86434938,790
85.68020394,791
84.05555818,792
81.95242591,793
78.73137034,794
73.2734887,795
66.07811085,796
61.22634903,797
57.15378606,798
52.9739002,799
48.82964398,800
46.36722047,801
46.90655356,802
48.72366184,803
52.84349258,804
59.35169391,805
64.14106936,806
66.9199026,807
69.36938757,808
71.62756069,809
74.01456,810
75.90728338,811
78.10621489,812
81.1984596,813
85.39978484,814
88.93343642,815
90.78924659,816
92.50467509,817
93.59840082,818
93.61497298,819
92.27187539,820
90.05153969,821
87.14311662,822
83.66738794,823
81.20258285,824
81.47418756,825
82.81601499,826
85.62414537,827
89.82328811,828
92.5405949,829
92.9592946,830
92.3340009,831
89.70794932,832
85.67095282,833
83.00905788,834
81.10274248,835
78.8152594,836
75.3584706,837
71.28656681,838
67.89965819,839
63.90179506,840
58.46018595,841
51.75864598,842
48.09564531,843
47.64699182,844
49.67745087,845
56.74228103,846
66.76965264,847
72.90147486,848
77.05310636,849
79.01537243,850
78.13608335,851
76.26134171,852
75.241851,853
75.41112519,854
77.98716848,855
83.02565722,856
87.52861417,857
91.3865359,858
95.49732697,859
99.62868771,860
102.5351092,861
102.4614997,862
101.2698746,863
98.3257145,864
93.52110886,865
89.67974318,866
87.81942464,867
86.6072847,868
86.81470657,869
88.19844206,870
89.61326981,871
90.90433726,872
92.60642765,873
95.22093028,874
97.9699042,875
99.58208842,876
100.6521949,877
99.96980036,878
96.94847999,879
93.0803383,880
89.12274123,881
83.96288879,882
76.42763179,883
67.91175155,884
62.87720468,885
59.02087205,886
55.90235385,887
54.28729111,888
54.46924438,889
56.04193974,890
58.03688,891
61.04485906,892
64.68943328,893
66.88524434,894
67.89959538,895
67.98378936,896
66.28397894,897
63.41876289,898
60.79486555,899
58.05313501,900
54.07392571,901
48.59143555,902
43.72564101,903
40.38206389,904
37.31075792,905
35.10385799,906
34.08224035,907
34.36217311,908
35.04080395,909
35.86319056,910
37.04763528,911
38.24545787,912
39.05782109,913
39.69422568,914
39.69450926,915
38.89215522,916
37.75958589,917
36.63629168,918
35.46452872,919
34.22608233,920
33.15121623,921
32.56226462,922
32.06400089,923
31.51029189,924
31.13125486,925
31.25796243,926
31.93124574,927
32.75909521,928
33.50447097,929
33.71393465,930
33.21382857,931
32.39918301,932
31.8211902,933
31.8654408,934
32.62629761,935
33.70347313,936
34.78318856,937
35.76683677,938
36.49056757,939
36.81972152,940
36.9371532,941
37.16195185,942
37.49198303,943
37.83205962,944
38.07128001,945
38.27775423,946
38.5800303,947
38.97473327,948
39.27945318,949
39.35324508,950
39.37167479,951
39.38844918,952
39.39723604,953
39.32340795,954
39.10864606,955
38.57255149,956
37.5267885,957
36.39373499,958
35.73707976,959
35.42319384,960
35.58718881,961
36.16435172,962
36.63413101,963
36.71805312,964
36.66183943,965
36.67352475,966
36.97967567,967
37.65557445,968
38.60255971,969
40.12093225,970
42.44420415,971
44.8336,972
46.67578083,973
48.48187854,974
50.93267823,975
53.81794064,976
56.33979425,977
58.37882509,978
60.7646692,979
63.86740618,980
66.96320236,981
69.39655181,982
71.73356586,983
75.36192292,984
80.20155233,985
84.03125933,986
85.3973199,987
85.18694458,988
81.85177872,989
76.47817751,990
71.76092174,991
68.40552267,992
65.69577239,993
63.80614499,994
62.6362061,995
61.79054463,996
60.7234642,997
58.90289323,998
56.77223125,999
55.43810659,1000
55.15939249,1001
55.30906829,1002
56.11606814,1003
57.26192105,1004
58.30870711,1005
59.24197508,1006
60.12917741,1007
60.70119936,1008
60.58604073,1009
59.74900683,1010
58.44211519,1011
56.08766041,1012
53.17913998,1013
50.96021573,1014
49.7070838,1015
49.01502256,1016
49.20590989,1017
50.01534746,1018
51.00994865,1019
51.97303209,1020
52.65915418,1021
52.73579387,1022
52.11255225,1023
51.07312193,1024
49.90128572,1025
48.58793682,1026
47.76271138,1027
48.00321658,1028
49.11243974,1029
51.04669591,1030
54.06458994,1031
56.5244985,1032
57.47416891,1033
57.34746487,1034
55.57557632,1035
52.3412637,1036
49.08957998,1037
46.29264579,1038
43.76416154,1039
42.16523738,1040
42.43009485,1041
44.74975009,1042
48.49138952,1043
54.31682764,1044
62.3506131,1045
68.74737867,1046
72.41747917,1047
75.08826888,1048
77.83949594,1049
80.23667693,1050
81.58349848,1051
81.95601287,1052
81.5588,1053
79.89463857,1054
78.08860841,1055
77.08647349,1056
76.88999106,1057
77.71260433,1058
79.40108826,1059
80.74486104,1060
81.32235964,1061
81.31184114,1062
80.28701362,1063
78.85016333,1064
77.85316844,1065
77.42545121,1066
77.46999129,1067
78.06167453,1068
78.76018116,1069
79.34850452,1070
79.89948681,1071
80.71984688,1072
81.74557485,1073
82.52571881,1074
82.86392276,1075
82.62013082,1076
81.23248373,1077
79.44496738,1078
78.01314016,1079
77.12268798,1080
77.59477671,1081
80.35683352,1082
84.3569067,1083
88.83320349,1084
93.56332699,1085
98.93482587,1086
103.368298,1087
105.3650388,1088
105.8460824,1089
105.7506728,1090
104.6936484,1091
102.9616071,1092
100.6431202,1093
97.57620545,1094
92.64264908,1095
86.3622503,1096
81.89613746,1097
79.46518915,1098
78.25054608,1099
78.48832955,1100
79.53221226,1101
80.41170406,1102
80.83581215,1103
80.91222276,1104
80.87679656,1105
81.08054592,1106
81.4685689,1107
81.78249562,1108
81.74244223,1109
81.44175546,1110
81.31795751,1111
81.62007631,1112
82.42151001,1113
83.83364711,1114
85.09640856,1115
85.95879394,1116
86.84073161,1117
88.44368233,1118
90.88960759,1119
92.75934167,1120
93.74253915,1121
93.88989254,1122
92.43596846,1123
89.71258549,1124
86.74759712,1125
83.73240598,1126
80.75467953,1127
78.25700328,1128
77.69097426,1129
79.01540717,1130
81.4291681,1131
85.04728863,1132
89.18516059,1133
91.4692,1134
92.14371983,1135
91.79211634,1136
90.36103285,1137
88.97872402,1138
88.64455857,1139
89.28299565,1140
90.84398686,1141
93.1359286,1142
94.51625873,1143
94.78815558,1144
94.21511467,1145
92.13388175,1146
88.79128974,1147
85.57463152,1148
82.47073091,1149
79.32547123,1150
76.15282351,1151
74.37341125,1152
74.16882603,1153
74.46282769,1154
74.23737262,1155
72.99532913,1156
71.39869789,1157
69.99727683,1158
69.49015385,1159
71.27874936,1160
74.78320864,1161
78.19160988,1162
80.92893034,1163
82.46358245,1164
82.25265185,1165
80.95821753,1166
79.40970375,1167
78.11717298,1168
77.39320238,1169
77.37066253,1170
77.89250745,1171
78.6246666,1172
79.25831443,1173
79.44288279,1174
79.18001494,1175
78.84875451,1176
78.92011863,1177
79.87940285,1178
81.85104955,1179
83.41756455,1180
84.36593565,1181
85.00940291,1182
85.49608531,1183
85.71717374,1184
85.51359374,1185
84.96875238,1186
84.0627099,1187
82.73043297,1188
81.67257978,1189
81.12489283,1190
80.71310826,1191
80.13932217,1192
79.455496,1193
79.28403397,1194
79.71699438,1195
80.98822418,1196
83.70628777,1197
86.70597379,1198
