depth,GR
2710.086,82.47
2710.211,82.44
2710.336,82.16
2710.461,82
2710.586,82.38
2710.711,83.31
2710.836,84.4
2710.961,84.89
2711.086,84.06
2711.211,82.21
2711.335,80.13
2711.46,78.79
2711.585,79.12
2711.71,80.79
2711.835,82.38
2711.96,82.67
2712.085,80.98
2712.21,78.21
2712.335,74.84
2712.46,70.56
2712.585,66.67
2712.71,66.17
2712.835,67.07
2712.96,70.05
2713.084,74.22
2713.209,76.94
2713.334,79.75
2713.459,82.78
2713.584,84.7
2713.709,83.73
2713.834,81.69
2713.959,78.65
2714.084,75.78
2714.209,74.89
2714.334,74.3
2714.459,73.69
2714.584,73.15
2714.709,73.01
2714.834,72.99
2714.958,73.84
2715.083,75.97
2715.208,78.38
2715.333,80.87
2715.458,82.75
2715.583,83.24
2715.708,82.33
2715.833,81.36
2715.958,80.8
2716.083,80.74
2716.208,80.73
2716.333,80.3
2716.458,78.75
2716.583,76.36
2716.708,74.52
2716.833,72.68
2716.958,70.31
2717.083,67.81
2717.207,66.54
2717.332,65.74
2717.457,66.22
2717.582,67.93
2717.707,69.49
2717.832,70.62
2717.957,70.86
2718.082,70.63
2718.207,71
2718.332,72.25
2718.457,75.48
2718.582,79.61
2718.707,82.01
2718.832,84.06
2718.957,86.3
2719.081,88.23
2719.206,88.7
2719.331,88.5
2719.456,87.06
2719.581,85.11
2719.706,84.32
2719.831,84.28
2719.956,85.27
2720.081,86.42
2720.206,86.43
2720.331,85.83
2720.456,84.72
2720.581,83.75
2720.706,83.32
2720.83,82.61
2720.955,80.72
2721.08,78.46
2721.205,77.74
2721.33,78.12
2721.455,79.8
2721.58,81.25
2721.705,80.81
2721.83,79.51
2721.955,78.19
2722.08,78.66
2722.205,81.52
2722.33,85.18
2722.455,88.47
2722.58,89.23
2722.704,87.05
2722.829,84.29
2722.954,81.41
2723.079,79.67
2723.204,79.66
2723.329,79.83
2723.454,79.72
2723.579,79.3
2723.704,78.9
2723.829,78.44
2723.954,77.43
2724.079,75.99
2724.204,74.54
2724.329,72.71
2724.453,69.72
2724.578,66.85
2724.703,65.86
2724.828,65.94
2724.953,68.33
2725.078,71.76
2725.203,73.95
2725.328,75.46
2725.453,75.88
2725.578,75.29
2725.703,74.29
2725.828,73.16
2725.953,71.63
2726.078,70.1
2726.203,68.75
2726.327,66.65
2726.452,61.5
2726.577,55.21
2726.702,50.96
2726.827,47.24
2726.952,43.92
2727.077,42.47
2727.202,43.83
2727.327,46.78
2727.452,53.63
2727.577,61.13
2727.702,65.27
2727.827,68.23
2727.952,69.87
2728.076,70.03
2728.201,69.48
2728.326,69.79
2728.451,73.7
2728.576,79.4
2728.701,83.5
2728.826,86.69
2728.951,89.78
2729.076,92.53
2729.201,94.49
2729.326,96.13
2729.451,95.98
2729.576,93.7
2729.701,90.44
2729.826,86.91
2729.95,82.94
2730.075,80.34
2730.2,79.93
2730.325,79.99
2730.45,79.87
2730.575,79.25
2730.7,78.43
2730.825,77.67
2730.95,77.19
2731.075,77.38
2731.2,78.3
2731.325,79.58
2731.45,81.44
2731.575,82.93
2731.699,83.49
2731.824,83.66
2731.949,82.53
2732.074,80.62
2732.199,78.99
2732.324,77.85
2732.449,78.04
2732.574,79.14
2732.699,80.13
2732.824,80.79
2732.949,81.25
2733.074,81.5
2733.199,81.4
2733.324,80.92
2733.449,79.71
2733.573,78.79
2733.698,78.7
2733.823,78.91
2733.948,79.41
2734.073,79.98
2734.198,80.53
2734.323,81.24
2734.448,82.2
2734.573,82.62
2734.698,82.17
2734.823,81.44
2734.948,81.22
2735.073,81.99
2735.198,83.26
2735.323,84.19
2735.448,83.28
2735.573,81.44
2735.698,80.38
2735.822,80.35
2735.947,81.5
2736.072,82.2
2736.197,81.68
2736.322,80.86
2736.447,80.95
2736.572,82.1
2736.697,83.41
2736.822,84.3
2736.947,84.16
2737.072,83.23
2737.197,81.91
2737.322,80.12
2737.447,76.34
2737.572,72.79
2737.696,71.21
2737.821,71.04
2737.946,74.28
2738.071,78.59
2738.196,81.71
2738.321,83.86
2738.446,84.45
2738.571,83.79
2738.696,82.77
2738.821,81.93
2738.946,81.56
2739.071,81.43
2739.196,80.88
2739.321,79.48
2739.445,75.59
2739.57,72.06
2739.695,70.62
2739.82,70.41
2739.945,71.76
2740.07,72.96
2740.195,73.24
2740.32,73.18
2740.445,73.46
2740.57,74.34
2740.695,75.68
2740.82,77.26
2740.945,79.24
2741.07,80.55
2741.195,81.13
2741.319,81.63
2741.444,82.19
2741.569,82.15
2741.694,80.91
2741.819,78.49
2741.944,73.64
2742.069,70.26
