depth,GR
2570.05,68.95
2570.175,69.42
2570.3,69.37
2570.425,69.16
2570.55,69.18
2570.675,69.54
2570.8,69.97
2570.925,70.18
2571.05,70.02
2571.174,69.85
2571.299,69.75
2571.424,69.58
2571.549,68.99
2571.674,68.34
2571.799,67.85
2571.924,67.89
2572.049,69.01
2572.174,70.22
2572.299,71.21
2572.424,71.79
2572.548,71.71
2572.673,71.42
2572.798,71.34
2572.923,71.53
2573.048,71.55
2573.173,70.76
2573.298,69.49
2573.423,68.39
2573.548,68.19
2573.673,69.31
2573.798,71.24
2573.922,73.41
2574.047,75.24
2574.172,75.29
2574.297,74.49
2574.422,73.82
2574.547,74.1
2574.672,75.05
2574.797,75.91
2574.922,76.04
2575.047,75.02
2575.172,73.95
2575.296,73.02
2575.421,72.04
2575.546,70.83
2575.671,70.2
2575.796,69.96
2575.921,69.88
2576.046,69.84
2576.171,69.82
2576.296,69.92
2576.421,70.45
2576.546,71.74
2576.67,72.53
2576.795,72.67
2576.92,72.14
2577.045,70.91
2577.17,70.24
2577.295,70.05
2577.42,69.94
2577.545,69.48
2577.67,68.8
2577.795,68.12
2577.92,67.77
2578.044,68.17
2578.169,68.99
2578.294,70.1
2578.419,71.6
2578.544,73.69
2578.669,74.75
2578.794,74.97
2578.919,74.63
2579.044,73.91
2579.169,73.69
2579.294,73.75
2579.418,73.61
2579.543,73.05
2579.668,72.82
2579.793,73.03
2579.918,73.48
2580.043,73.79
2580.168,73.52
2580.293,72.97
2580.418,72.3
2580.543,71.73
2580.668,70.93
2580.792,69.68
2580.917,67.97
2581.042,67.33
2581.167,67.48
2581.292,68
2581.417,68.76
2581.542,69.24
2581.667,69.71
2581.792,70.51
2581.917,71.91
2582.042,72.77
2582.167,73.03
2582.292,72.55
2582.417,70.98
2582.541,69.69
2582.666,68.74
2582.791,67.99
2582.916,67.14
2583.041,66.53
2583.166,66.09
2583.291,65.92
2583.416,66.23
2583.541,66.44
2583.666,66.39
2583.791,66.47
2583.915,67.66
2584.04,69.65
2584.165,72.03
2584.29,74.09
2584.415,74.89
2584.54,73.89
2584.665,72.11
2584.79,70.24
2584.915,68.54
2585.04,68.17
2585.165,68.58
2585.289,69.46
2585.414,70.85
2585.539,71.46
2585.664,71.45
2585.789,70.92
2585.914,69.65
2586.039,68.53
2586.164,67.58
2586.289,66.8
2586.414,66.32
2586.538,66.36
2586.663,66.45
2586.788,66.11
2586.913,65.1
2587.038,64.66
2587.163,65.09
2587.288,66.59
2587.413,69.26
2587.538,70.48
2587.663,70.41
2587.788,69.49
2587.912,68.02
2588.037,67.63
2588.162,67.99
2588.287,68.61
2588.412,69.38
2588.537,69.78
2588.662,69.94
2588.787,69.84
2588.912,69.08
2589.037,68.04
2589.162,66.71
2589.286,64.82
2589.411,62.04
2589.536,60.72
2589.661,60.75
2589.786,61.83
2589.911,63.59
2590.036,64.01
2590.161,63.48
2590.286,62.92
2590.411,63.19
2590.536,64.16
2590.66,65.19
2590.785,65.45
2590.91,64.08
2591.035,62.35
2591.16,60.99
2591.285,60.6
2591.41,61.99
2591.535,63.89
2591.66,65.78
2591.785,67.52
2591.91,69.16
2592.034,69.79
2592.159,69.85
2592.284,69.48
2592.409,68.42
2592.534,67.23
2592.659,65.83
2592.784,64.06
2592.909,61.95
2593.034,61.38
2593.159,62.04
2593.284,63.64
2593.408,66.26
2593.533,67.67
2593.658,68.17
2593.783,68.46
2593.908,68.72
2594.033,69.38
2594.158,70.05
2594.283,70.5
2594.408,70.6
2594.533,70.41
2594.658,69.92
2594.782,68.83
2594.907,66.67
2595.032,64.99
2595.157,63.75
2595.282,62.71
2595.407,61.69
2595.532,61.32
2595.657,61.44
2595.782,62.05
2595.907,63.41
2596.032,64.45
2596.156,65.42
2596.281,66.83
2596.406,69.03
2596.531,70.26
2596.656,70.7
2596.781,70.73
2596.906,70.45
2597.031,70.13
2597.156,69.78
2597.281,69.36
2597.406,68.91
2597.531,68.75
2597.656,68.74
2597.781,68.65
2597.905,68.29
2598.03,67.92
2598.155,67.53
2598.28,67.04
2598.405,66.22
2598.53,65.42
2598.655,64.58
2598.78,63.82
2598.905,63.52
2599.03,64.05
2599.155,64.86
2599.279,65.06
2599.404,63.54
2599.529,61.76
2599.654,60.49
2599.779,59.92
2599.904,59.97
2600.029,60.13
2600.154,60.21
2600.279,60.25
2600.404,60.37
2600.529,60.6
2600.653,60.94
2600.778,61.53
2600.903,62.57
2601.028,63.07
2601.153,63.1
2601.278,63.01
2601.403,63.17
2601.528,63.72
2601.653,64.51
2601.778,65.47
2601.903,66.77
2602.027,67.61
2602.152,68.21
2602.277,68.68
2602.402,68.94
2602.527,68.73
2602.652,68.17
2602.777,67.57
2602.902,67.31
2603.027,67.6
2603.152,67.95
2603.277,67.85
2603.401,67.07
2603.526,66.81
2603.651,67.33
2603.776,68.46
2603.901,69.8
2604.026,69.68
2604.151,68.42
2604.276,66.53
2604.401,64.4
2604.526,63.79
2604.651,64.21
2604.775,65.23
2604.9,66.83
2605.025,67.7
2605.15,68.09
2605.275,68.33
2605.4,68.54
2605.525,68.65
2605.65,68.66
2605.775,68.56
2605.9,68.35
2606.025,68.21
2606.149,68.04
2606.274,67.85
2606.399,67.87
2606.524,68.46
2606.649,69.52
2606.774,70.78
2606.899,71.94
2607.024,72.02
2607.149,71.32
2607.274,69.93
2607.399,67.22
2607.523,65.13
2607.648,63.8
2607.773,63.54
2607.898,64.96
2608.023,66.45
2608.148,67.54
2608.273,67.99
2608.398,67.21
2608.523,65.75
2608.648,64.02
2608.773,62.34
2608.897,61.11
2609.022,61.52
2609.147,63.05
2609.272,65.32
2609.397,68.35
2609.522,69.85
2609.647,70.19
2609.772,69.77
2609.897,68.6
2610.022,67.65
2610.146,66.69
2610.271,65.58
2610.396,64.3
2610.521,63.66
2610.646,63.46
2610.771,63.82
2610.896,65.12
2611.021,66.32
2611.146,67.26
2611.271,67.77
2611.396,67.66
2611.521,67.6
2611.646,68.01
2611.771,68.97
2611.895,70.42
2612.02,71.02
2612.145,70.87
2612.27,69.86
2612.395,67.48
2612.52,65.58
2612.645,64.37
2612.77,64.16
2612.895,65.67
2613.02,67.65
2613.145,69.58
2613.269,71.18
2613.394,72.2
2613.519,71.99
2613.644,71.07
2613.769,69.71
2613.894,67.93
